Id,Label,timeset,format,impressions,likes,catégorie,sous-catégorie,indegree,outdegree,degree,modularity_class
https://www.linkedin.com/posts/antoine-khaitrine-62743192_badbuzz-wokisme-socialdata-activity-6965963688805552128-Wj6Y?utm_source=share&utm_medium=member_desktop,Engueulade Adrien,,Texte,4382,25,TOFU,Entrepreneuriat,4,13,17,5
https://www.linkedin.com/posts/antoine-khaitrine-62743192_quel-est-le-comble-pour-spiderman-activity-6965246296374792192-03tg?utm_source=share&utm_medium=member_desktop,Carrousel Spiderman,,Carrousel,3613,20,BOFU,Social data & expertise,7,1,8,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_prospection-leadgeneration-inbound-activity-6963070718041325568-1BUg?utm_source=share&utm_medium=member_desktop,Sondage prospection,,Sondage,1894,6,MOFU,Marketing & communication,2,0,2,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_rosiers-antisaezmite-activity-6962706312677761024-1DyC?utm_source=share&utm_medium=member_desktop,"""Antisémite""",,Photo,3320,23,MOFU,Marketing & communication,9,1,10,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_nuclaezaire-aezlectricitaez-activity-6962339424256847872-d_FR?utm_source=share&utm_medium=member_desktop,Centrale nucléaire,,Photo,6693,32,MOFU,Marketing & communication,8,2,10,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_la-tr%C3%A8s-bonne-nouvelle-du-matin-activity-6961239535326306304-aNY0?utm_source=share&utm_medium=member_desktop,Signature 20K,,Photo,8914,50,TOFU,Entrepreneuriat,12,10,22,5
https://www.linkedin.com/posts/antoine-khaitrine-62743192_sentimentanalysis-activity-6960920616203866113-JcP4?utm_source=share&utm_medium=member_desktop,NoCodeFunctions,,GIF / Vidéo,1218,8,BOFU,Outils gratuits,2,1,3,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_booba-z%C3%A9ro-n10-dans-sa-team-activity-6960551194259820544-F3ED?utm_source=share&utm_medium=member_desktop,Carrousel Booba,,Carrousel,3337,16,BOFU,Social data & expertise,3,8,11,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_gephi-hamilton-alonso-activity-6960185721722695681-B9bw?utm_source=share&utm_medium=member_desktop,Alpine,,Photo,2146,12,MOFU,Marketing & communication,4,8,12,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_data-f1-la-semaine-d%C3%A9cisive-activity-6959862817839587328-7ujX?utm_source=share&utm_medium=member_desktop,Alpine - Carrousel,,Carrousel,4442,31,MOFU,Marketing & communication,4,9,13,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_1h-chrono-pour-sauver-un-badbuzz-activity-6958733191528521728-qR8W?utm_source=share&utm_medium=member_desktop,1H Badbuzz,,Carrousel,2057,11,BOFU,Social data & expertise,1,34,35,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_10-outils-data-gratuits-de-veille-online-activity-6958356771979546624-IJGP?utm_source=share&utm_medium=member_desktop,Carrousel 10 outils,,Carrousel,3824,26,MOFU,Outils gratuits,0,67,67,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_ma-question-pr%C3%A9f%C3%A9r%C3%A9e-quest-ce-que-je-vais-activity-6958084246116646912-ttKP?utm_source=share&utm_medium=member_desktop,Ma question préférée,,Photo,2415,20,TOFU,Entrepreneuriat,5,0,5,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_eraezputation-sociallistening-activity-6957755297880797184-8SPz?utm_source=share&utm_medium=member_desktop,Sondage TikTok,,Sondage,2149,4,MOFU,Marketing & communication,2,0,2,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_gephi-visibrain-radarly-activity-6957313471168290816-2BOR?utm_source=share&utm_medium=member_desktop,Data entrepreneur,,Texte,3686,20,TOFU,Entrepreneuriat,6,1,7,6
https://www.linkedin.com/posts/antoine-khaitrine-62743192_socialdata-socialistening-gephi-activity-6956181090592034817-zNB0?utm_source=share&utm_medium=member_desktop,Mawenzi,,Photo,4193,40,TOFU,Entrepreneuriat,7,1,8,6
